SKU,Item Name,Product Description,Shipping Weight (lbs),Shipping Quantity,Shipping Dimensions (inch),FOB,Color
632418,Nike Golf Dri-FIT Engineered Mesh Polo,"Built for lasting comfort through 18 holes, this modern style has contrasting mesh panels on the sides, shoulders and yoke for stretchable, breathable performance. Dri-FIT moisture management technology keeps moisture at bay. Design details include a self-fabric collar with contrast mesh under collar, three-button placket and open hem sleeves. The contrast Swoosh design trademark is embroidered on the left sleeve. Made of 6.3-ounce, 100% polyester Dri-FIT fabric.",9,250,18L x 6W x 15H,69061,Black
5170,Hanes® - EcoSmart® 50/50 Cotton/Poly T-Shirt,"5.2-ounce, 50/50 cotton/poly Taped neck and shoulders Double-needle coverseamed crewneck Lay-flat collar Tag-free label",9,250,18L x 6W x 15H,69061,Black
7003-40,Zoom® Wrap with Ear Buds,"Two products in one, the Zoom Wrap gives you a great product in cord management, and now delivers it with a pair of better sounding ear buds than products twice its price, but that's the quality that is expected from the Zoom brand. The Zoom Wrap's included clip makes this product ideal to clip onto pockets, waistbands, or bags for easy accessibility of these or your favorite ear buds.",15.84,200,7.87L x 10.04W x 17.72H,69061,Black
3250-99,Coil Backpack,"Large zippered main compartment with headphone port. Zippered front pocket. Side mesh water bottle pockets. Padded back panel. Padded, adjustable shoulder straps.",13.2,20,9.84L x 15.75W x 19.69H,69061,Black
2050-02,"42"" Auto Open Folding Umbrella","Automatic opening. Pongee canopy with matching color case. Two-section folding metal shaft. Ergonomic matte black plastic handle with wrist strap. Folds to 15"" long.",37.4,48,7.87L x 17.72W x 18.9H,69061,Black
SM-4125,The Ziggy Pen-Stylus,Twist-action ballpoint pen with soft rubber stylus for touchscreen devices.,20,1000,7L x 12W x 17H,69061,Black
MOLEHRD,Moleskine® Hard Cover Squared Large Notebook,"Reliable travel companion perfect for notes, sketches and thoughts. Bound hard cover with rounded corners, bookmark and elastic strap closure.",20,1000,7L x 12W x 17H,69061,Black
8500,8500 SERIES,"Unstructured, Low Profile. Heavy Wt. Brushed Cotton Twill. 100% Cotton. 6-Panel, Fashion Cap. 6 Sewn Eyelets. 4 Rows Visor Stitching. Fabric Strap Closure, Tucks Away. Origin - China",20,1000,7L x 12W x 17H,69061,Black
SM-2381,Square Badge Holder,"Retracting cord extends 32". Belt clip on back. Great for tradeshows and employee badges. Can also be used as a key ring holder.",16,500,10L x 11W x 15H,69061,Black
SM-2381,Square Badge Holder,"Retracting cord extends 32". Belt clip on back. Great for tradeshows and employee badges. Can also be used as a key ring holder.",16,500,10L x 11W x 15H,69061,Black
P3A3A25,"BIC® 3"" X 3"""ADHESIVE NOTEPAD","25 SHEET,3"" x 3"" Adhesive Notepads 25 sheet pad"",8.07,500,10L x 11W x 15H,56085,Black
5117,SOFT SILICONE CELL PHONE WALLET,"The Soft Silicone Cell Phone Wallet has a real 3M adhesive backing. It securely holds 2-3 credit cards, a driver’s license, money, business cards, hotel room keycard, and more. It also makes your phone easier to grip. It includes an instruction and explanation sheet enclosed. No Residue after Removal.﻿",15,300,20L x 17W x 17H,56085,Black
SG120,Single Tone Matte Sunglasses,Jetline's lenses feature ultraviolet protection level UV400.,10,100,13L x 8W x 5H,56085,Black
